Rango m,1000 mbar,850 mbar,700 mbar,500 mbar,400 mbar,300 mbar,250 mbar,200 mbar,150 mbar,100 mbar,70 mbar,50 mbar,30 mbar,10 mbar
0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
100000,2,2,2,1,2,1,1,1,2,2,1,2,2,1
200000,1,2,1,2,2,2,2,1,2,2,1,2,2,1
300000,1,2,1,1,1,2,1,1,1,2,2,2,1,2
400000,1,1,1,2,2,2,2,1,1,1,2,1,2,1
500000,1,2,2,1,1,2,1,2,1,1,1,1,1,2
600000,1,1,2,1,1,1,2,1,1,1,2,1,2,2
700000,1,1,2,2,1,2,1,1,1,1,1,2,2,2
800000,1,1,2,2,1,1,1,1,1,1,1,2,2,2
900000,1,1,1,1,1,1,2,2,1,2,2,2,2,2
1000000,1,2,2,1,2,1,1,1,2,2,2,2,1,2
1100000,2,2,2,2,1,1,2,2,1,2,1,2,2,1
1200000,1,1,1,2,1,2,2,1,2,1,1,1,2,2
1300000,1,1,2,2,1,1,2,1,1,1,1,2,1,2
1400000,1,1,2,1,1,2,1,1,2,1,2,1,2,1
1500000,1,2,2,1,1,2,2,1,1,1,2,2,1,1
1600000,2,1,1,1,1,1,1,2,2,1,2,1,1,1
1700000,2,1,2,2,1,1,1,2,2,2,1,2,2,1
1800000,1,1,1,2,2,2,2,1,2,2,2,2,2,2
1900000,2,2,1,1,2,2,2,1,2,2,1,2,1,2
2000000,2,1,1,2,2,2,2,2,1,2,2,2,1,1
2100000,2,2,1,2,2,2,1,2,2,2,1,1,2,2
2200000,2,1,1,2,1,1,2,2,1,1,1,1,2,1
2300000,2,2,1,1,1,2,1,2,1,1,1,1,2,1
2400000,1,2,2,2,2,1,1,1,1,1,1,1,1,2
2500000,1,2,2,2,1,1,2,2,1,1,1,1,1,2
2600000,1,2,2,1,1,2,2,2,1,1,2,1,2,2
2700000,1,1,2,1,2,2,1,2,1,1,1,2,2,1
2800000,2,1,2,1,2,1,2,2,2,2,2,2,1,1
2900000,2,2,2,1,2,1,2,2,2,2,2,1,2,2
3000000,1,2,1,1,1,2,1,2,1,2,2,1,1,1
3100000,2,2,1,2,1,1,1,1,1,1,1,1,2,2
3200000,1,1,1,1,1,2,1,1,2,2,1,2,1,1
3300000,1,2,1,2,2,2,1,1,1,1,1,2,2,2
3400000,1,1,1,2,1,1,2,1,2,2,2,1,1,2
3500000,1,2,2,1,1,2,2,1,1,1,2,1,1,2
3600000,2,1,2,1,2,2,1,2,1,2,2,2,1,2
3700000,1,1,1,2,1,2,1,1,2,1,1,1,1,2
3800000,2,1,2,2,2,2,1,1,2,1,2,1,1,1
3900000,1,2,1,2,1,1,1,2,1,2,1,2,2,1
4000000,2,1,1,1,1,2,1,1,2,2,2,2,1,2
4100000,1,2,2,1,1,1,1,1,2,1,2,1,1,1
4200000,1,2,1,1,2,1,2,1,2,1,1,2,2,2
4300000,1,2,1,2,1,2,1,1,1,2,1,1,2,1
4400000,1,1,2,1,1,1,2,2,2,1,1,1,1,2
4500000,2,1,2,2,1,1,1,2,2,2,1,2,1,1
4600000,2,1,1,1,2,1,1,1,2,2,2,1,2,1
4700000,2,2,1,2,1,1,2,2,1,1,2,2,1,2
4800000,1,1,2,2,1,1,2,2,1,2,2,1,1,2
4900000,2,2,2,1,2,2,2,2,2,1,2,2,1,1
5000000,2,2,2,1,1,2,2,1,2,1,2,2,2,1
5100000,1,1,2,2,1,1,2,1,1,2,2,2,2,2
5200000,2,2,1,2,2,2,2,2,1,1,1,1,1,1
5300000,1,1,1,1,1,2,1,2,2,2,2,2,2,2
5400000,1,1,1,2,2,2,2,1,2,2,1,1,2,2
5500000,2,2,2,2,1,2,2,2,1,2,2,2,2,1
5600000,2,2,2,1,2,1,2,1,1,2,1,2,1,2
5700000,1,1,1,1,2,2,1,2,2,2,2,1,2,2
5800000,2,1,2,1,2,1,1,1,1,1,2,1,2,2
5900000,2,2,2,2,1,1,1,1,1,2,2,1,1,2
6000000,2,1,1,1,1,1,2,1,2,1,1,1,2,1
